timestamp,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,heading
780000000,-6.225432974193873,-19.195395878156067,-0.2,0.0,0.0,0.0,-1.570494235572534
790000000,-6.225432974193873,-19.195395878156067,-0.2,0.0,0.0,0.0,-1.570494235572534
800000000,-6.209638654470203,-19.210621061599014,-0.2,0.0,0.0,0.0,-1.570494235572534
810000000,-6.209638654470203,-19.210621061599014,-0.2,0.0,0.0,0.0,-1.570494235572534
820000000,-6.209638654470203,-19.210621061599014,-0.2,0.0,0.0,0.0,-1.570494235572534
830000000,-6.209638654470203,-19.210621061599014,-0.2,0.0,0.0,0.0,-1.570494235572534
840000000,-6.2011049868568335,-19.2299915188166,-0.2,0.0,0.0,0.0,-1.570494235572534
850000000,-6.2011049868568335,-19.2299915188166,-0.2,0.0,0.0,0.0,-1.570494235572534
860000000,-6.2011049868568335,-19.2299915188166,-0.2,0.0,0.0,0.0,-1.570494235572534
870000000,-6.1860794311101195,-19.254034724702905,-0.2,0.0,0.0,0.0,-1.570494235572534
880000000,-6.1860794311101195,-19.254034724702905,-0.2,0.0,0.0,0.0,-1.570494235572534
890000000,-6.1860794311101195,-19.254034724702905,-0.2,0.0,0.0,0.0,-1.570494235572534
900000000,-6.1607326802865625,-19.28427273699257,-0.2,0.0,0.0,0.0,-1.570494235572534
910000000,-6.1607326802865625,-19.28427273699257,-0.2,0.0,0.0,0.0,-1.570494235572534
920000000,-6.1607326802865625,-19.28427273699257,-0.2,0.0,0.0,0.0,-1.570494235572534
930000000,-6.1607326802865625,-19.28427273699257,-0.2,0.0,0.0,0.0,-1.570494235572534
940000000,-6.143860519587662,-19.29730201064508,-0.2,0.0,0.0,0.0,-1.570494235572534
950000000,-6.143860519587662,-19.29730201064508,-0.2,0.0,0.0,0.0,-1.570494235572534
960000000,-6.143860519587662,-19.29730201064508,-0.2,0.0,0.0,0.0,-1.570494235572534
970000000,-6.1149100622332515,-19.31235957863229,-0.2,0.0,0.0,0.0,-1.570494235572534
980000000,-6.1149100622332515,-19.31235957863229,-0.2,0.0,0.0,0.0,-1.570494235572534
990000000,-6.1149100622332515,-19.31235957863229,-0.2,0.0,0.0,0.0,-1.570494235572534
1000000000,-6.081073282304033,-19.33406787128763,-0.2,0.0,0.0,0.0,-1.570494235572534
