timestamp,position.x,position.y,position.z,velocity.x,velocity.y,velocity.z,attitude.x,attitude.y,attitude.z,motor_speed.0,motor_speed.1,motor_speed.2,motor_speed.3
710000000,-6.077968879587983,-18.598167259171852,-2.008969951512051,1.5339484912743404,0.22670922869861154,0.027134183469694574,0.15279260508772596,-0.2952791138115842,0.020481406826384507,1123.670358398282,1187.419097644116,1170.841514618252,1152.0179615348366
720000000,-6.061853724215461,-18.595733976870445,-2.0086732694987925,1.5607476250803398,0.24060203886344692,0.029450364533455668,0.14472214621722315,-0.29532811628112,0.01115907839331334,1128.262610929464,1186.175381498311,1165.6718991191176,1155.6819290154408
730000000,-6.047084527839039,-18.593398359931218,-2.008408309271745,1.5879094786268984,0.25735622409122644,0.02910987956710793,0.13689027641594614,-0.2954807670642984,0.0033670721060416325,1128.4403766833732,1189.0054754836012,1161.462105353689,1158.0325033607946
740000000,-6.030397504590636,-18.590633266880474,-2.0081234725542734,1.6158163850074356,0.27191292762371194,0.02520955016443608,0.12761404866129888,-0.2958164285915657,-0.004619020021776829,1128.792545925363,1191.0580145359008,1157.5622996109093,1160.763601405567
750000000,-6.0151443551968296,-18.588029460261975,-2.007876274951368,1.637483552795897,0.28264007119758017,0.026559200342945358,0.11878343789770177,-0.2961203798773876,-0.011174962729313363,1131.09370726036,1190.2995843859314,1154.3277082041197,1163.144678862068
760000000,-5.997952174363319,-18.585023140908085,-2.007589892187775,1.6653043529320044,0.2962357365800068,0.02812584040970421,0.10843077375698738,-0.2964904463572993,-0.017703104970447397,1132.3502249416133,1187.8110140170986,1152.277795135693,1166.7235829482818
770000000,-5.980448376561708,-18.5818890963286,-2.0072954435941868,1.6942206621496883,0.30615878556646037,0.027700970452374907,0.09768761677697693,-0.2970081737549177,-0.023522330580625757,1132.8925250931352,1184.4831001026464,1150.9448584009142,1171.4931059573817
780000000,-5.964440744801686,-18.578990076190376,-2.007039503093432,1.7184208995866155,0.31312675024184666,0.02606421909880091,0.08769598408724297,-0.2975775224287762,-0.02815460605512596,1135.184897487237,1184.5622066949475,1148.5512200198505,1172.344552188442
790000000,-5.946370309809353,-18.575674833754153,-2.0067688207112697,1.7502030194917488,0.3237240359726465,0.02488243994491194,0.07630630583379586,-0.29821414270301366,-0.032588384200347584,1139.9734772640022,1185.1958104952637,1144.1260924631779,1172.0412967928405
800000000,-5.929835454987782,-18.57261928526582,-2.006522911975383,1.7782998569742414,0.32951147638329503,0.0278523127368924,0.06593512277248652,-0.29879605991138497,-0.035928280046692324,1144.1724588848274,1182.3456445687516,1140.1636049144477,1175.0324556361018
810000000,-5.9111588518450535,-18.569162762510974,-2.0062492722652303,1.8094555260136602,0.3331942827823961,0.02389954604802134,0.054337429279795846,-0.29947324506833967,-0.03891138749774531,1145.078065863337,1179.2083940658638,1141.008411615007,1177.1628414451986
820000000,-5.89217810637684,-18.565654459927536,-2.0060164441292114,1.836495073833238,0.33832533156283584,0.019682690070893374,0.042734973708636145,-0.3001419229616541,-0.04124219440570631,1146.2053477247455,1176.8994065813727,1141.7710222498956,1178.3525849935959
830000000,-5.8748081361298015,-18.56247223437215,-2.005833019908155,1.867383517572742,0.3423934955250157,0.017886920496606624,0.03234745987531789,-0.30075286402193063,-0.04290033897284718,1149.8116006981593,1173.8172393970376,1139.791753982741,1179.7442537449374
840000000,-5.855186920293931,-18.55891384399651,-2.005660766932593,1.8994594873654662,0.34154903122842833,0.017449495232196348,0.02090566146052627,-0.3014240762502999,-0.04429056069928956,1154.5157427095378,1170.618017359663,1137.7865223616054,1179.6202301040655
850000000,-5.837255092007331,-18.555727115629782,-2.005510843384726,1.924811271218883,0.3408501919907579,0.015837895895986515,0.010672532571508067,-0.3020023636266428,-0.04498771169565453,1157.1953725106744,1170.1133477384556,1135.2502961549862,1179.440959133332
860000000,-5.81705610342875,-18.55218099941831,-2.005367828274988,1.9541582093697272,0.33856380636242867,0.01302569404822436,-0.0005702638056091937,-0.30267189240657044,-0.04518992046050632,1158.2391084579467,1167.738652084845,1133.2579225895906,1182.321898473346
870000000,-5.796578941859283,-18.548666258435333,-2.0052364343886757,1.9787353798698766,0.33381475114208387,0.012074578199143947,-0.011508598227861953,-0.303352364808542,-0.0449188483326304,1161.3740320562367,1165.3099347837706,1130.9053661981723,1183.39525408591
880000000,-5.777916282549486,-18.545554787825637,-2.0051218848247716,2.0028836749180523,0.3297575403934361,0.014058122144072014,-0.021069614998769713,-0.30386449130217913,-0.044221901899910036,1163.7630337932949,1164.2107619681808,1129.1401819664634,1183.237533623644
890000000,-5.756897555956714,-18.542148735739413,-2.0049661530491547,2.031691539672488,0.3222559834528756,0.015602573641494113,-0.03131775978418659,-0.30434764220634547,-0.04293538445582303,1165.3581440209357,1160.6527494052611,1129.6377339288704,1184.3164364951872
900000000,-5.737719967798066,-18.53913070514215,-2.004797356960586,2.05913682135618,0.3216562672886799,0.019876683628942748,-0.040164370108559826,-0.304737672212477,-0.041364361350914675,1167.5986851667553,1157.7980220957409,1130.2395398462224,1183.7868851043006
910000000,-5.716119703770488,-18.535790426407992,-2.0046043317701696,2.0899006684710946,0.3190547012689791,0.018798326788532906,-0.049556800879375015,-0.30505352895255894,-0.03920183593001227,1170.0614209464889,1158.2151339049738,1128.2179656809324,1181.3382993996615
920000000,-5.694201883757586,-18.532503231767944,-2.0044020961314293,2.1188814448949795,0.3120748307989952,0.021059023880231734,-0.0584537531429749,-0.305212295895211,-0.03661704741405633,1172.784966257069,1158.1579672842859,1124.131488792157,1180.157619282755
